['Alkyne_Terminal']	C#CCC	54.09	4
['Amine_Secondary']	CCNC	59.11	4
['Internal_Michael_Acceptor_Alkene_Ester_Alpha_H']	O=C1C=CCO1	84.07	6
['Amide_Secondary']	CNC(C)=O	73.09	5
['Oxime']	C/C=N\O	59.07	4
['Ketimine_EWG']	CC(C)(C)C(=O)N=C1COC1	155.2	11
['Acetal_Alkyl']	COCOC	76.09	5
['Thiophenol']	Sc1ccccc1	110.18	7
['Acyl_Halide']	CC(=O)Cl	78.5	4
['Nitrile']	CC(C)(C)C#N	83.13	6
['SemiUreas']	COC(N)=S	91.13	5
['Cyanamide']	CNC#N	56.07	4
['SulfonylChloride']	CS(=O)(=O)Cl	114.55	5
['Weinreb_Amide']	O=C1CCON1	87.08	6
['Sulfoxide_Enolizable']	CS(C)=O	78.14	4
['Vinyl_Bromide_Iodide']	C=C(C)Br	120.98	4
['PhosphorylChloride_PX4']	CP(C)(=O)Cl	112.5	5
['Ketone_Enolizable']	CC(C)=O	58.08	4
['Isocyanate']	CN=C=O	57.05	4
['Ester_NonEnolizable']	COC(=O)C(C)(C)C	116.16	8
['Sulfonamide_NH']	CS(N)(=O)=O	95.12	5
['Thiol ']	CCCS	76.16	4
['Isothiocyanate']	CN=C=S	73.12	4
['Carboxylic acid']	CC(=O)O	60.05	4
['Amine_Primary']	CCCN	59.11	4
['Aldehyde_Enolizable']	CCC=O	58.08	4
['DienoneCyclic']	O=C1C=CCCC=C1	108.14	8
['Michael_Acceptor_Alkyne_Aldehyde']	C#CC=O	54.05	4
['nH_Heterocycle r5']	c1cc[nH]c1	67.09	5
['Aryl_Bromide']	Brc1ccccc1	157.01	7
['Aldehyde_sp3_NonEnolizable']	CC(C)(C)C=O	86.13	6
['Alcohol']	CO	32.04	2
['ThioAmide']	CCC(N)=S	89.16	5
['Michael_Acceptor_Alkyne_Amide']	C#CC(=O)N(C)C	97.12	7
['DiEWG_Cmpd_Carbonyl_SP']	COP(=O)(CC(C)=O)OC	166.11	10
['Amide_Tertiary']	CC(=O)N(C)C	87.12	6
['Chloramines']	CN(C)Cl	79.53	4
['DiEWG_Cmpd_DiCarbonyl_Cyclic']	O=C1CCC(=O)C1	98.1	7
['Phenol']	Oc1ccccc1	94.11	7
['Internal_Michael_Acceptor_Alkene_Nitro']	C/C=C\[N+](=O)[O-]	87.08	6
['Enamine']	C1=CNCC1	69.11	5
['Anhydride']	O=C1CCC(=O)O1	100.07	7
['Enol_Ether_Alkyl']	C=COC	58.08	4
['HemiaminalNH']	OC1CCCN1	87.12	6
['Alkene_Internal']	C/C=C\C	56.11	4
['Thiourea']	NC(N)=S	76.12	4
['nH_Heterocycle r6']	O=c1cc[nH]cc1	95.1	7
['Ester_Enolizable']	COC(C)=O	74.08	5
['Alcohol_Propargyl']	C#CCO	56.06	4
['Nitro']	CC(C)(C)[N+](=O)[O-]	103.12	7
['Ureas']	NC(N)=O	60.06	4
['Sulfonamide_Sulfone_Enolizable']	COS(C)(=O)=O	110.13	6
['Alcohol_Allyl']	C=CCO	58.08	4
['Guanidine']	N=C(N)N	59.07	4
['HydroxylamineN']	NO	33.03	2
['Alkene_Terminal']	C=C	28.05	2
['Hydrazine_NH1']	CNNC	60.1	4
['Hydrazine_NH2']	CN(C)N	60.1	4
['DieneAcyclicInternal']	C/C=C\C=C\C	82.15	6
['Aldimine']	CC1(C)CCC=N1	97.16	7
['Amide_Primary']	CC(N)=O	59.07	4
['Amidine']	CC(=N)N	58.08	4
['Imide_SulfonimideH']	O=CNC=O	73.05	5
['Internal_Michael_Acceptor_Aldehyde']	C/C=C\C=O	70.09	5
['Internal_Michael_Acceptor_Ketone_Cyclic_Alpha_H']	O=C1C=CCC1	82.1	6
['Hydrazone']	C1=NNCC1	70.09	5
['Phosphonate_Enolizable']	CP(C)(C)=O	92.08	5
['Alkyl_Halide_Prim_Cl']	CCCCl	78.54	4
['Enol_Ether_EWG']	C=C1CC(=O)O1	84.07	6
['Internal_Michael_Acceptor_Alkene_Ester_Alpha_Sub']	CC1=CCOC1=O	98.1	7
['Nitroso']	CN(C)N=O	74.08	5
['Aryl_Iodide']	Ic1ccccc1	204.01	7
['Internal_Michael_Acceptor_Alkene_C#N']	C/C=C/C#N	67.09	5
['Alkyl_Halide_Secondary_Cl']	CC(C)Cl	78.54	4
['Nitrile _Enolizable']	CC#N	41.05	3
['Dicarbonyl_Cmpd_NoCarbonyl']	O=[N+]([O-])C[N+](=O)[O-]	106.04	7
['Borate']	C[B-](F)(F)F	82.84	5
['Aldehyde_Aryl']	O=Cc1ccccc1	106.12	8
['Vinyl_Chloride']	C/C=C\Cl	76.53	4
['SilylStannylChloride']	C[Si](C)(C)Cl	108.64	5
['Internal_Michael_Acceptor_Alkene_Amide_Alpha_H']	CN1CC=CC1=O	97.12	7
['DiEWG_Cmpd_DiCarbonyl_Acyclic']	CC(=O)CC(C)=O	100.12	7
['Enamine_EWG']	C=CNC(C)=O	85.11	6
['DieneCyclic']	C1=CCC=C1	66.1	5
['Ketimine']	CC1=NCCC1	83.13	6
['Diazo']	CC(C)=[N+]=[N-]	70.09	5
['Michael_Acceptor_Alkyne_P']	C#CP(=O)(OCC)OCC	162.12	10
['DiEWG_Cmpd_Carbonyl_NO2']	CC(=O)C[N+](=O)[O-]	103.08	7
['Internal_Michael_Acceptor_Ketone_Acyclic_Alpha_Sub']	C/C=C(/C)C(C)=O	98.14	7
['Internal_Michael_Acceptor_Ketone_Acyclic_Alpha_H']	C/C=C\C(C)=O	84.12	6
['ThioEster']	CSC(C)=O	90.15	5
['Allene']	C=C=CC	54.09	4
['Internal_Michael_Acceptor_Alkene_S']	O=C1C=CS(=O)N1	117.13	7
['Thioacetal_CH']	C1CSCS1	106.22	5
['Alkyl_Halide_Prim_ACT_I']	COCI	171.97	4
['Terminal_Michael_Acceptor_Alkene_Nitro']	C=C[N+](=O)[O-]	73.05	5
['Alkyne_Internal']	CC#CC	54.09	4
['Ketone_NonEnolizable']	CC1(C)CCC(C)(C)C1=O	140.23	10
['Nitro_Enolizable']	C[N+](=O)[O-]	61.04	4
['Alkyl_Halide_Prim_ACT_Cl']	COCCl	80.51	4
['Alkyl_Halide_Prim_Br']	CCCBr	122.99	4
